2001,tagID,233
2001,tagID,190
2001,tagID,14
2001,tagID,18
2001,tagID,179
2001,tagID,727
2001,tagID,10137
2001,tagID,127
2001,tagID,61
2001,tagID,30
2001,tagID,575
503,tagID,191
503,tagID,4
503,tagID,7
503,tagID,9640
503,tagID,233
503,tagID,1482
503,tagID,713
503,tagID,524
503,tagID,1484
503,tagID,82
503,tagID,179
503,tagID,793
503,tagID,7996
503,tagID,285
503,tagID,190
503,tagID,127
910,tagID,1
910,tagID,2
910,tagID,386
910,tagID,10116
910,tagID,6
910,tagID,7
910,tagID,524
910,tagID,793
910,tagID,797
910,tagID,285
910,tagID,543
910,tagID,804
910,tagID,810
910,tagID,555
910,tagID,3882
910,tagID,3883
910,tagID,2604
910,tagID,6955
910,tagID,1712
910,tagID,176
910,tagID,3890
910,tagID,179
910,tagID,178
910,tagID,177
910,tagID,306
910,tagID,11314
910,tagID,56
910,tagID,184
910,tagID,12209
910,tagID,61
910,tagID,189
910,tagID,191
910,tagID,1983
910,tagID,1984
910,tagID,1985
910,tagID,2755
910,tagID,190
910,tagID,2371
910,tagID,72
910,tagID,73
910,tagID,1097
910,tagID,78
910,tagID,79
910,tagID,80
910,tagID,850
910,tagID,210
910,tagID,11222
910,tagID,216
910,tagID,3673
910,tagID,2139
910,tagID,4956
910,tagID,9823
910,tagID,352
910,tagID,737
910,tagID,610
910,tagID,481
910,tagID,10213
910,tagID,12133
910,tagID,12134
910,tagID,232
910,tagID,233
910,tagID,234
910,tagID,1513
910,tagID,12140
910,tagID,6253
910,tagID,238
910,tagID,623
910,tagID,11757
910,tagID,370
910,tagID,10232
910,tagID,10875
910,tagID,10876
910,tagID,127
179,tagID,1
179,tagID,1219
179,tagID,552
179,tagID,73
179,tagID,138
179,tagID,139
179,tagID,2155
179,tagID,141
179,tagID,233
179,tagID,364
179,tagID,541
1534,tagID,9
1534,tagID,12
1534,tagID,18
1534,tagID,1447
1534,tagID,562
1534,tagID,563
1534,tagID,565
1534,tagID,309
1534,tagID,570
1534,tagID,571
1534,tagID,572
1534,tagID,61
1534,tagID,576
1534,tagID,577
1534,tagID,580
1534,tagID,595
1534,tagID,597
1534,tagID,86
1534,tagID,3673
1534,tagID,2794
1534,tagID,6763
1534,tagID,127
2002,tagID,385
2002,tagID,10
2002,tagID,18
2002,tagID,563
2002,tagID,565
2002,tagID,86
2002,tagID,61
2002,tagID,607
2141,tagID,18
2141,tagID,563
2141,tagID,565
2141,tagID,86
2141,tagID,567
2141,tagID,61
2141,tagID,30
1368,tagID,4
1368,tagID,5
1368,tagID,742
1368,tagID,743
1368,tagID,9613
1368,tagID,9614
1368,tagID,2096
1368,tagID,7954
1368,tagID,3509
1368,tagID,6778
1368,tagID,188
705,tagID,4328
705,tagID,9
705,tagID,10
705,tagID,12
705,tagID,18
705,tagID,565
