233,2813
190,2814
14,2815
18,2816
179,2817
727,2818
10137,2819
127,2820
61,2821
30,2822
575,2823
191,2824
4,2825
7,2826
9640,2827
1482,2828
713,2829
524,2830
1484,2831
82,2832
793,2833
7996,2834
285,2835
1,2836
2,2837
386,2838
10116,2839
6,2840
797,2841
543,2842
804,2843
810,2844
555,2845
3882,2846
3883,2847
2604,2848
6955,2849
1712,2850
176,2851
3890,2852
178,2853
177,2854
306,2855
11314,2856
56,2857
184,2858
12209,2859
189,2860
1983,2861
1984,2862
1985,2863
2755,2864
2371,2865
72,2866
73,2867
1097,2868
78,2869
79,2870
80,2871
850,2872
210,2873
11222,2874
216,2875
3673,2876
2139,2877
4956,2878
9823,2879
352,2880
737,2881
610,2882
481,2883
10213,2884
12133,2885
12134,2886
232,2887
234,2888
1513,2889
12140,2890
6253,2891
238,2892
623,2893
11757,2894
370,2895
10232,2896
10875,2897
10876,2898
1219,2899
552,2900
138,2901
139,2902
2155,2903
141,2904
364,2905
541,2906
9,2907
12,2908
1447,2909
562,2910
563,2911
565,2912
309,2913
570,2914
571,2915
572,2916
576,2917
577,2918
580,2919
595,2920
597,2921
86,2922
2794,2923
6763,2924
385,2925
10,2926
607,2927
567,2928
5,2929
742,2930
743,2931
9613,2932
9614,2933
2096,2934
7954,2935
3509,2936
6778,2937
188,2938
4328,2939
3335,2940
3343,2941
2092,2942
3135,2943
89,2944
7155,2945
3704,2946
3705,2947
3706,2948
3707,2949
1532,2950
1478,2951
3678,2952
5033,2953
4300,2954
2548,2955
74,2956
202,2957
187,2958
964,2959
966,2960
967,2961
662,2962
959,2963
6312,2964
6770,2965
6776,2966
121,2967
32,2968
33,2969
11142,2970
2091,2971
4117,2972
4118,2973
3969,2974
395,2975
16,2976
17,2977
25,2978
6690,2979
3237,2980
39,2981
3239,2982
302,2983
2102,2984
956,2985
957,2986
962,2987
963,2988
965,2989
968,2990
969,2991
976,2992
88,2993
600,2994
90,2995
494,2996
10093,2997
601,2998
602,2999
604,3000
802,3001
4098,3002
1902,3003
2140,3004
12431,3005
796,3006
8,3007
5422,3008
378,3009
11455,3010
9745,3011
